French,English,Pronunciation,Part of speech
rare,1. rare,ʀaʀ,adj
rare,2. precious,ʀaʀ,adj
proches,"relations, relatives",pʀɔʃ,"n, masc"
sauvage,"savage, wild",sovaʒ,adj
virer,endorse,viʀe,v
fumée,smoke,fyme,"n, fem"
romantique,romantic,ʀomɑ̃tik,adj
cloche,bell,klɔʃ,"n, fem"
magique,1. magical,maʒik,adj
magique,2. magic,maʒik,adj
comité,committee,komite,"n, masc"
jaloux,jealous,ʒalu,adj
divorce,divorce,divɔʀs,"n, masc"
ambulance,"ambulance, field hospital",ɑ̃bylɑ̃s,"n, fem"
rentrée,return,ʀɑ̃tʀe,"n, masc"
port,1. postage,pɔʀ,"n, masc"
port,"2. harbor, harbour, port",pɔʀ,"n, masc"
cochon,"hog, pig, swine",koʃɔ̃,"n, masc"
enfuir,1. run away,ɑ̃fɥiʀ,v
enfuir,2. escape,ɑ̃fɥiʀ,v
ménage,"1. houskeeping, housework",menaʒ,"n, masc"
ménage,2. houshold,menaʒ,"n, masc"
particulier,"apart, particular, separate, special",paʀtikylje,adj
journaliste,1. journalist,ʒuʀnalist,"n, masc"
journaliste,2. female journalist,ʒuʀnalist,"n, masc"
croix,cross,kʀwa,"n, fem"
royaume,kingdom,ʀwajom,"n, masc"
disparaître,disappear,dispaʀɛtʀ,v
jus,"juice, sap",ʒy,"n, masc"
comte,"count, earl",kɔ̃t,"n, masc"
patience,patience,pasjɑ̃s,"n, fem"
net,"clear, distinct, plain",nɛt,adj
panique,panic,panik,"n, fem"
crédit,credit,kʀedi,"n, masc"
rater,miss,ʀate,v
fromage,cheese,fʀomaʒ,"n, masc"
complet,"absolute, complete, full",kɔ̃plɛ,adj
boutique,"boutique, shop, store",butik,"n, fem"
recommencer,resume,ʀəkomɑ̃se,v
scénario,script,senaʀjo,"n, masc"
jeudi,Thursday,ʒødi,"n, masc"
brûler,"1. glow, glow with heat",bʀyle,v
brûler,2. burn,bʀyle,v
mardi,Tuesday,maʀdi,"n, masc"
passion,"lust, passion",pasjɔ̃,"n, fem"
profond,"deep, profound",pʀofɔ̃,adj
télévision,"television, TV",televizɔ̃,"n, fem"
réussir,succeed,ʀeysiʀ,v
remonter,"strech, wind up",ʀəmɔ̃te,v
accompagner,accompany,akɔ̃panje,vt
tromper,1. commit adultery,tʀɔ̃pe,v
tromper,2. disappoint,tʀɔ̃pe,v
tromper,"3. be unfaithful, be unfaithful to",tʀɔ̃pe,v
tromper,"4. cheat, deceive",tʀɔ̃pe,v
pot,"1. jug, pot",po,"n, masc"
pot,"2. vase, vessel",po,"n, masc"
lien,"bond, tie",li,"n, masc"
serpent,"serpent, snake",sɛʀpɑ̃,"n, masc"
cadavre,"cadaver, corpse",kadavʀ,"n, masc"
bouton,1. pimple,butɔ̃,"n, masc"
bouton,2. button,butɔ̃,"n, masc"
cancer,"cancer, canker",kɑ̃se,"n, masc"
poussière,dust,pusjɛʀ,"n, fem"
piscine,"pool, swimming-bath, swimming-pool",pisin,"n, fem"
tapis,carpet,tapi,"n, masc"
inviter,invite,ɛ̃vite,v
œuvre,"task, work, undertaking",œvʀ,"n, fem"
œuvre,abcdefghijklmnopqrstuvwxyzàâçèéêëîïôùûœ,œvʀ,"n, fem"
empereur,emperor,ɑ̃pəʀœʀ,"n, masc"
ascenseur,"elevator, lift",asɑ̃sœʀ,"n, masc"
révolution,revolution,ʀevɔlytjɔ̃,"n, fem"
principal,1. most important,pʀɛ̃sipal,adj
principal,"2. main, predominant, principal",pʀɛ̃sipal,adj
principal,"3. chief, major",pʀɛ̃sipal,adj
promesse,"affirmation, promise",pʀɔmɛs,"n, fem"
période,period,peʀjɔd,"n, fem"
courrier,1. courier,kuʀje,"n, masc"
courrier,2. piece of mail,kuʀje,"n, masc"
courrier,"3. mail, post",kuʀje,"n, masc"
récemment,recently,ʀesamɑ̃,adv
écran,"screen, monitor",ekʀɑ̃,"n, masc"
combattre,"fight, struggle",kɔ̃batʀ,v
élevé,1. noble,ɛlve,adj
élevé,2. well mannered,ɛlve,adj
malheureux,"1. dismal, miserable, pitiful, poor",malœʀø,adj
malheureux,2. unhappy,malœʀø,adj
garage,garage,gaʀaʒ,"n, masc"
tenter,"entice, tempt",tɑ̃te,v
logique,logic,loʒik,"n, fem"
temple,temple,tɑ̃pl,"n, masc"
section,section,sɛksjɔ̃,"n, fem"
rythme,rhythm,ʀitm,"n, masc"
propriété,"1. estate, farm, property, ranch",pʀopʀjete,"n, fem"
propriété,2. quality,pʀopʀjete,"n, fem"
propriété,3. ownership,pʀopʀjete,"n, fem"
examen,"investigation, examination, test",ɛgzamɛn,"n, masc"
nation,nation,nasjɔ̃,"n, fem"
cap,cape,kap,"n, masc"
courageux,"brave, courageous, valiant",kuʀaʒø,adj
profiter,profit,pʀofite,v
miel,honey,mjɛl,"n, masc"
poil,hair,pwal,"n, masc"
chic,"smart, stylish",ʃik,adj
fonds,"1. estate, farm, property, ranch",fɔ̃,"n, masc"
fonds,2. fund,fɔ̃,"n, masc"
fonds,3. capital,fɔ̃,"n, masc"
sable,sand,sabl,"n, masc"
douze,twelve,duz,num
agence,agency,aʒɑ̃s,"n, fem"
cependant,"but, however, nevertheless, yet",səpɑ̃dɑ̃,conj
ceinture,"belt, girdle",sɛ̃tyʀ,"n, fem"
nourrir,"feed, nourish",nuʀiʀ,v
pratique,practice,pʀatik,"n, fem"
meurtrier,"deadly, fatal",mœʀtʀje,adj
idéal,ideal,ideal,"n, masc"
maîtresse,1. lover,mɛtʀɛs,"n, fem"
maîtresse,2. mistress,mɛtʀɛs,"n, fem"
central,"exchange, power station",sɑ̃tʀal,
brillant,"1. brilliant, witty, clever",bʀijɑ̃,adj
brillant,"2. bright, shiny",bʀijɑ̃,adj
commission,"1. commission, errand",kɔmisjɔ̃,"n, masc"
nager,"float, swim",naʒe,v
figure,"1. figure, diagram, image, picture, representation",figyʀ,"n, fem"
figure,2. face,figyʀ,"n, fem"
revolver,revolver,ʀəvɔlve,"n, masc"
crème,cream,kʀɛm,"n, fem"
rat,rat,ʀa,"n, masc"
tempête,storm,tɑ̃pɛt,"n, fem"
refaire,"fix, repair",ʀəfɛʀ,v
crever,burst,kʀəve,v
traitement,1.  [med] treatment,trɛtmɑ̃,"n, masc"
traitement,2. salary,trɛtmɑ̃,"n, masc"
traitement,3. handling,trɛtmɑ̃,"n, masc"
cabine,cabin,kabin,"n, fem"
fuite,"flight, run",fɥit,"n, fem"
estomac,stomach,ɛstɔma,"n, masc"
couloir,"corridor, passage",kulwaʀ,"n, masc"
lâcher,release,laʃe,v
naturel,"1. congenital, inborn, inbred, innate, native",natyʀɛl,adj
naturel,2. natural,natyʀɛl,adj
incendie,"conflagration, fire",ɛ̃sɑ̃di,"n, masc"
chute,fall,ʃyt,"n, fem"
peinture,"dye, paint",pɛ̃tyʀ,"n, fem"
reconnaître,"1. acknowledge, recognize",ʀəkɔnɛtʀ,v
reconnaître,2. distinguish,ʀəkɔnɛtʀ,v
reconnaître,"3. examine, explore, investigate, research",ʀəkɔnɛtʀ,v
dollar,dollar,dɔlaʀ,"n, masc"
prénom,1. first name,pʀenɔ̃,"n, masc"
prénom,2. Christian name,pʀenɔ̃,"n, masc"
puce,flea,pys,"n, fem"
pur,"1. mere, solitary, sole",pyʀ,adj
pur,2. pure,pyʀ,adj
pur,3. clean,pyʀ,adj
pur,"4. simple, straightforward",pyʀ,adj
prier,"1. ask, ask for, beg, bid, request",pʀie,v
prier,2. pray,pʀie,v
voisin,neighbour,vwazɛ̃,"n, masc"
miroir,"looking-glass, mirror",miʀwaʀ,"n, masc"
actrice,actress,aktʀis,"n, fem"
technique,"technics, technique",tɛknik,"n, fem"
autrefois,"ahead, formerly, previously",otʀəfwa,adv
parier,"bet, wager",paʀje,v
septembre,September,sɛptɑ̃bʀ,"n, fem"
affronter,"1. confront, face",afʀɔ̃te,v
affronter,"2. stand up to, withstand",afʀɔ̃te,v
parfum,perfume,paʀfym,"n, masc"
tasse,cup,tas,"n, fem"
pensée,1. thought,pɑ̃se,"n, fem"
pensée,2. pansy,pɑ̃se,"n, fem"
salaire,"salary, wage, wages",salɛʀ,"n, masc"
bagnole,1. car,banjɔl,"n, fem"
bagnole,2. vehicle,banjɔl,"n, fem"
récompense,"premium, prize",ʀekɔ̃pɑ̃s,"n, fem"
ordinaire,"common, ordinary, usual",oʀdinɛʀ,adj
musée,museum,myze,"n, masc"
absence,absence,absɑ̃s,"n, fem"
approcher,bring close together,apʀɔʃe,v
condition,"condition, stipulation, terms",kɔ̃disjɔ̃,"n, fem"
race,"breed, race",ʀas,"n, fem"
absurde,absurd,absyʀd,adj
masque,mask,mask,"n, masc"
pardonner,"forgive, pardon",paʀdɔne,v
annoncer,"advertise, announce, give notice",anɔ̃se,v
origine,origin,ɔʀiʒin,"n, fem"
poitrine,"bosom, breast, chest",pwatʀin,"n, fem"
couvert,cutlery,kuvɛʀ,"n, masc"
large,"1. ample, bulky, extensive",laʀʒ,adj
large,2. broad,laʀʒ,adj
large,"3. spacious, vast, wide",laʀʒ,adj
nu,"bare, naked, nude",ny,adj
loup,wolf,lu,"n, masc"
urgent,urgent,yʀazɑ̃,adj
attente,expectation,atɑ̃t,"n, fem"
mystère,mystery,mistɛʀ,"n, masc"
vélo,"bike, cycle, bicycle",velo,"n, masc"
réaction,reaction,ʀeaksjɔ̃,"n, fem"
flotte,fleet,flɔt,"n, fem"
foot,"football, soccer",fɔo,"n, masc"
virus,virus,viʀys,"n, masc"
élève,pupil,elɛv,n
cérémonie,ceremony,seʀemɔni,"n, fem"
disque,"dial, disc, record",disk,"n, masc"
résoudre,1. dissolve,ʀezudʀ,v
résoudre,2. transform,ʀezudʀ,v
moche,"ugly, ghastly, dreadful",mɔʃ,adj
colle,1. adhesive,kɔl,"n, fem"
colle,2. glue,kɔl,"n, fem"
maximum,maximum,maksimɔm,"n, fem"
déclaration,"declaration, proclamation, statement",deklaʀasjɔ̃,"n, fem"
installer,install,ɛ̃stale,v
effort,"1. attempt, effort",ɛfɔʀ,"n, masc"
commandement,1. board of directors,kɔmɑ̃dəmɑ̃,"n, masc"
commandement,2. command,kɔmɑ̃dəmɑ̃,"n, masc"
commandement,"3. control, reign, rule",kɔmɑ̃dəmɑ̃,"n, masc"
panne,breakdown,pan,"n, fem"
visiter,"attend, call on, see, visit",vizite,v
pointe,"peak, point, tip, summit",pwɛ̃t,"n, fem"
raisonnable,"1. appropriate, becoming, seemly, suitable",ʀɛzonabl,adj
raisonnable,"2. prudent, reasonable",ʀɛzonabl,adj
raisonnable,"3. sagacious, sage, wise",ʀɛzonabl,adj
qualité,"property, quality",kalite,"n, fem"
attitude,attitude,atityd,"n, fem"
esclave,slave,ɛsklav,"n, masc"
guide,1. leader,gid,"n, masc"
guide,"2. handbook, guide, guidebook",gid,"n, masc"
guide,3. counsellor,gid,"n, masc"
humour,"humor, humour",ymuʀ,"n, masc"
boule,"chunk, clod, lump",bul,"n, fem"
blesser,"hurt, wound",blɛse,v
jungle,jungle,ʒygl,"n, fem"
jugement,"adjudication, trial",ʒyʒəmɑ̃,"n, masc"
essai,1. experiment,ɛsɛ,"n, masc"
essai,"2. attempt, test",ɛsɛ,"n, masc"
digne,dignified,dinj,adj
brûlé,burnt,bʀyle,adj
noble,1. nobleman,nɔbl,"n, masc"
noble,2. noble,nɔbl,"n, masc"
gâcher,"botch, bungle, screw up, spoil",gaʃe,v
inquiet,"1. agitated, anxious",ɛ̃kjɛ,adj
enterrement,"burial, funeral, interment",ɑ̃tɛʀəmɑ̃,"n, masc"
rayon,1. shelf,ʀɛjɔ̃,"n, masc"
rayon,"2. beam, ray",ʀɛjɔ̃,"n, masc"
rayon,3. radius,ʀɛjɔ̃,"n, masc"
traîner,"drag, tow",tʀɛne,v
rang,"1. grade, rank, rate",ʀɑ̃g,"n, masc"
rang,"2. file, line, row, turn",ʀɑ̃g,"n, masc"
traître,1. unfaithful,tʀɛtʀ,adj
traître,2. treacherous,tʀɛtʀ,adj
orange,"orange, orange-coloured",oʀɑ̃ʒ,adj
bourse,1. stock exchange,buʀs,"n, fem"
bourse,2. shares,buʀs,"n, fem"
cave,"basement, cellar",kav,"n, fem"
paire,pair,pɛʀ,"n, fem"
cassette,1. cassette,kasɛt,"n, fem"
cassette,2. treasure,kasɛt,"n, fem"
sommet,1. acme,sɔmɛ,"n, masc"
sommet,"2. peak, point, tip, summit",sɔmɛ,"n, masc"
sommet,"3. surface, top",sɔmɛ,"n, masc"
remplacer,1. take the place of,ʀɑ̃plase,v
remplacer,"2. replace, substitute",ʀɑ̃plase,v
cage,cage,kaʒ,"n, fem"
limite,"boundary, frontier, limit",limit,"n, fem"
conseiller,leader,kɔ̃sɛje,"n, masc"
voyant,"loud, gaudy",vwajɑ̃,adj
auteur,"author, writer",otœʀ,"n, masc"
sorcière,witch,sɔʀsjɛʀ,"n, fem"
livrer,"1. accuse, denounce",livʀe,v
livrer,"2. abandon, forsake, desert, leave, quit",livʀe,v
livrer,"3. deliver, furnish, supply",livʀe,v
plainte,"accusal, accusation, charge, complaint, indictment",plɛ̃t,"n, fem"
réellement,"genuinely, indeed, really, truly",ʀeɛləmɑ̃,adv
adulte,"adult, fully-grown",adylt,adj
pile,"1. pile, stack",pil,"n, fem"
pile,2. battery (of electrovoltiac cells),pil,"n, fem"
pile,3. pier (of wall or structure),pil,"n, fem"
mandat,mandate,mɑ̃da,"n, masc"
bagarre,1. affray,bagaʀ,"n, fem"
bagarre,2. scuffle,bagaʀ,"n, fem"
bagarre,"3. agitation, riot, tumult",bagaʀ,"n, fem"
escalier,"staircase, stairs",ɛskalje,"n, masc"
naturellement,1. of course,natyʀɛləmɑ̃,adv
naturellement,2. naturally,natyʀɛləmɑ̃,adv
quinze,fifteen,kɛ̃z,num
véhicule,vehicle,veikyl,"n, masc"
chasser,"chase, hunt",ʃase,v
objectif,objective,ɔbʒɛktif,adj
colline,hill,kɔlin,"n, fem"
blessure,"injury, wound",blɛsyʀ,"n, fem"
moto,motorcycle,moto,"n, fem"
domaine,"1. estate, farm, property, ranch",domɛn,"n, masc"
domaine,"2. branch, compartment, department, pigeonhole, section, speciality",domɛn,"n, masc"
aimable,"1. affable, friendly, good-natured, kind",ɛmabl,adj
aimable,"2. dainty, nice, pretty",ɛmabl,adj
exercice,"exercise, practice",ɛgzɛʀsis,"n, masc"
voyager,travel,vwajaʒe,v
arrestation,"apprehension, arrest, detention",aʀɛstasjɔ̃,"n, fem"
barbe,beard,baʀb,"n, fem"
tunnel,tunnel,tynɛl,"n, masc"
amiral,admiral,amiʀal,"n, masc"
cabinet,toilet,kabinɛ,"n, masc"
poursuivre,"1. chase, drive, drive on, impel, shoo",puʀsɥivʀ,v
poursuivre,"2. persecute, prosecute, pursue",puʀsɥivʀ,v
huile,oil,ɥil,"n, fem"
ranger,"arrange, put in order, tidy",ʀɑ̃ʒe,v
furieux,furious,fyʀjø,adj
vote,vote,vɔt,"n, masc"
autorisation,1. permission,otoʀizasjɔ̃,"n, fem"
autorisation,2. authorization,otoʀizasjɔ̃,"n, fem"
rond,circle,ʀɔ̃,"n, masc"
territoire,territory,tɛʀitwaʀ,"n, masc"
venger,"avenge, avenge oneself",vɑ̃ʒe,v
exprès,"deliberately, on purpose",ɛkspʀɛ,adv
classique,"classic, classical",klasik,adj
soutien,support,sutjɛ̃,"n, masc"
proposition,"1. nomination, recommendation",pʀopozisjɔ̃,"n, fem"
proposition,2. presentation,pʀopozisjɔ̃,"n, fem"
pétrole,"paraffin-oil, petroleum",petʀɔl,"n, fem"
réaliser,"1. accomplish, achieve, act out",ʀealize,v
réaliser,"2. keep, observe, perform",ʀealize,v
réaliser,3. produce,ʀealize,v
ministère,ministry,ministɛʀ,"n, masc"
échec,"1. abortion, failure, fiasco",eʃɛk,"n, masc"
échec,2. chess,eʃɛk,"n, masc"
bol,1. reservoir,bɔl,"n, masc"
bol,"2. basin, bowl, pelvis",bɔl,"n, masc"
plaire,please,plɛʀ,v
respecter,"1. act on, act upon, follow, observe",ʀɛspɛkte,v
respecter,2. respect,ʀɛspɛkte,v
bibliothèque,1. library,bibljotɛk,"n, fem"
bibliothèque,2. bookcase,bibljotɛk,"n, fem"
attirer,"attract, decoy, lure",atiʀe,v
drapeau,"1. banner, flag",dʀapo,"n, masc"
drapeau,2. standard,dʀapo,"n, masc"
production,production,pʀodyksjɔ̃,"n, fem"
conférence,lecture,kɔ̃feʀɑ̃s,"n, fem"
précieux,pricey,pʀesjø,adj
religion,religion,ʀəliʒjɔ̃,"n, fem"
rêver,dream,ʀɛve,v
retenir,"1. bridle, check, restrain",ʀətəniʀ,v
retenir,"2. conserve, keep, maintain, preserve",ʀətəniʀ,v
retenir,"3. recall, recollect, remember",ʀətəniʀ,v
retenir,"4. book, order, reserve",ʀətəniʀ,v
retenir,5. moderate,ʀətəniʀ,v
retenir,6. thunder,ʀətəniʀ,v
football,"football, soccer",futbol,"n, masc"
pisser,urinate,pise,v
Barry,Barry,baʀi,n
auto,car,oto,"n, fem"
vague,"1. uncertain, vague",vag,adj
vague,2. vacant,vag,adj
vague,3. faraway,vag,adj
vague,4. loose,vag,adj
vallée,valley,vale,"n, fem"
charme,"1. grace, gracefulness",ʃaʀm,"n, masc"
charme,2. hornbeam,ʃaʀm,"n, masc"
charme,3. sorcery,ʃaʀm,"n, masc"
quart,fourth,kaʀ,"n, masc"
guitare,guitar,gitaʀ,"n, fem"
remplir,1. complete,ʀɑ̃pliʀ,v
remplir,"2. fill, fill in, fill up",ʀɑ̃pliʀ,v
remplir,"3. accomplish, achieve, keep, observe, perform",ʀɑ̃pliʀ,v
Sophie,Sofia,sofi,n
refuser,"refuse, reject",ʀəfyze,v
taper,"1. pat, tap",tape,v
taper,2. type,tape,v
critique,critical,kʀitik,adj
terminer,"1. accommodate, end, finish, terminate",tɛʀmine,v
terminer,2. stop,tɛʀmine,v
hauteur,"altitude, height",otœʀ,"n, fem"
cimetière,"cemetery, God's acre, graveyard",simətjɛʀ,"n, masc"
fêter,celebrate,fɛte,v
indien,Indian,ɛ̃di,adj
culture,"1. cultivation, tillage",kyltyʀ,"n, fem"
culture,2. culture,kyltyʀ,"n, fem"
deviner,guess,dəvine,v
précis,"accurate, precise",pʀesi,adj
plateau,1. plateau,plato,"n, fem"
plateau,2. tray,plato,"n, fem"
langage,"speech, language",lɑ̃gaʒ,"n, masc"
incapable,incabable,ɛ̃kapabl,adj
mercredi,Wednesday,mɛʀkʀədi,"n, masc"
avouer,"acknowledge, admit, confess, profess",avue,v
lion,lion,ljɔ̃,"n, masc"
soigner,"1. attend, nurse, tend to",swanje,v
soigner,"2. care for, cure, treat",swanje,v
soigner,3. look after,swanje,v
électrique,electric,elɛktʀik,adj
italien,Italian,itali,adj
réception,"1. acceptance, admission",ʀesɛpsjɔ̃,"n, fem"
réception,"2. reception room, reception-room",ʀesɛpsjɔ̃,"n, fem"
couvrir,cover,kuvʀiʀ,v
loyer,"rent, rent money",lwaje,"n, masc"
cervelle,brain,sɛʀvɛl,"n, masc"
trente,thirty,tʀɑ̃t,num
national,national,nasjonal,adj
avenue,avenue,avəny,"n, fem"
cité,"city, town",site,"n, fem"
collier,necklace,kɔlje,"n, masc"
séance,1. meeting,seɑ̃s,"n, fem"
séance,2. presentation,seɑ̃s,"n, fem"
séance,3. session,seɑ̃s,"n, fem"
placard,"1. cupboard, closet, wardrobe",plakaʀ,"n, masc"
placard,"2. notice, placard, poster",plakaʀ,"n, masc"
riz,rice,ʀi,"n, masc"
sandwich,sandwich,sɑ̃dwitʃ,"n, masc"
stade,"stadium, stage",stad,"n, masc"
moral,"fair, just, moral",moʀal,adj
tendre,"1. dainty, delicate, fine, refined",tɑ̃dʀ,v
tendre,"2. affectionate, caressing, cuddlesome, cuddly",tɑ̃dʀ,v
tendre,3. soft,tɑ̃dʀ,v
tendre,"4. strech, wind up",tɑ̃dʀ,v
fleuve,river,flœv,"n, masc"
auparavant,"ahead, formerly, previously",opaʀavɑ̃,adv
fièvre,"ague, fever",fjɛvʀ,"n, fem"
chatte,1. female cat,ʃat,"n, fem"
chatte,"2. cunt, pussy",ʃat,"n, fem"
amant,lover,amɑ̃,"n, masc"
concernant,"1. about, concerning",kɔ̃sɛʀnɑ̃,adv
concernant,"2. as to, as regards",kɔ̃sɛʀnɑ̃,adv
las,tired,la,adj
prière,prayer,pʀiɛʀ,"n, fem"
hélas,alas,ela,int
durer,"continue, endure, keep on, last",dyʀe,v
alarme,alarm,alaʀm,"n, fem"
entièrement,"1. completely, entirely, through, fully",ɑ̃tjɛʀəmɑ̃,adv
entièrement,"2. at all, quite, wholly",ɑ̃tjɛʀəmɑ̃,adv
juillet,July,ʒɥijɛ,"n, masc"
sensible,"1. accessible, impressible, sensitive",sɑ̃sibl,adj
sensible,"2. charitable, merciful",sɑ̃sibl,adj
poudre,"powder, cosmetic powder",pudʀ,"n, fem"
discussion,discussion,diskysjɔ̃,"n, fem"
séparer,"disintegrate, divide, separate",sepaʀe,v
beurre,butter,bœʀ,"n, masc"
détail,detail,detaj,"n, masc"
baron,baron,baʀɔ̃,"n, masc"
congrès,"congress, convention",kɔ̃gʀɛ,"n, masc"
épaule,shoulder,epol,"n, fem"
poison,poison,pwazɔ̃,"n, masc"
métro,"subway, underground",metʀo,"n, masc"
serment,oath,sɛʀmɑ̃,"n, masc"
espagnol,"Spanish, Spanish language",ɛspanjɔl,adj
supérieur,"superior, upper",sypeʀjœʀ,adj
fiancé,fiancé,fjɑ̃se,"n, masc"
robot,robot,ʀobo,"n, masc"
entraîner,"1. bring away, carry away",ɑ̃tʀɛne,v
entraîner,"2. coach, train",ɑ̃tʀɛne,v
congé,"1. spare time, time off, vacation",kɔ̃ʒe,"n, masc"
congé,"2. discharge, paying off",kɔ̃ʒe,"n, masc"
sauce,"gravy, sauce",sos,"n, fem"
balance,weight,balɑ̃s,"n, fem"
moderne,1. fashionable,modɛʀn,adj
moderne,2. modern,modɛʀn,adj
extrêmement,1. extremely,ɛkstʀɛməmɑ̃,adv
extrêmement,2. most,ɛkstʀɛməmɑ̃,adv
commerce,"business, commerce, trade",kɔmɛʀs,"n, masc"
ivre,"drunk, intoxicated",ivʀ,adj
appétit,appetite,apɛti,"n, masc"
dette,debt,dɛt,"n, fem"
admettre,"1. accept, receive, take, take in",admɛtʀ,v
admettre,2. admit,admɛtʀ,v
admettre,"3. accede, agree, consent",admɛtʀ,v
brise,breeze,bʀiz,"n, fem"
juin,June,ʒɥɛ̃,"n, masc"
ajouter,add,aʒute,v
couler,flow,kule,v
portrait,portrait,poʀtʀɛ,"n, masc"
avantage,"1. advantage, benefit",avɑ̃taʒ,"n, masc"
avantage,"2. gain, profit",avɑ̃taʒ,"n, masc"
fidèle,faithful,fidɛl,adj
juger,judge,ʒyʒe,v
réseau,"net, network",ʀezo,"n, masc"
ouverture,"1. aperture, opening",uvɛʀtyʀ,"n, fem"
ouverture,2. overture,uvɛʀtyʀ,"n, fem"
invitation,invitation,ɛ̃vitasjɔ̃,"n, fem"
solide,"firm, solid",sɔlid,adj
autorité,authority,otoʀite,"n, fem"
munitions,"munition, ammunition",mynisjɔ̃,"n, fem"
neveu,nephew,nəvø,"n, masc"
téléphoner,telephone,telefɔne,v
briser,"1. crush, shatter, smash",bʀize,v
briser,2. break,bʀize,v
blé,wheat,ble,"n, masc"
puits,well,pɥi,"n, masc"
total,"1. overall, total",total,
total,"2. entire, whole",total,
fierté,pride,fjɛʀte,"n, fem"
sein,"bosom, breast, chest",sɛ̃,"n, masc"
étudiant,student,etydjɑ̃,"n, masc"
électricité,electricity,elɛktʀisite,"n, fem"
lampe,lamp,lɑ̃p,"n, fem"
causer,"1. activate, cause, give rise to",koze,v
causer,2. cause to take place,koze,v
rouler,1. roll,ʀule,v
rouler,"2. bilk, cheat, take in",ʀule,v
sourd,deaf,suʀ,adj
alliance,alliance,aljɑ̃s,"n, fem"
rage,rabies,ʀaʒ,"n, fem"
tournage,film set,tuʀnaʒ,"n, masc"
règlement,"1. settlement, acquittal, payment, full payment",ʀɛgləmɑ̃,"n, masc"
règlement,"2. regulations, rules",ʀɛgləmɑ̃,"n, masc"
habiller,"clothe, dress",abije,v
célibataire,"1. single, unmarried",selibatɛʀ,"n, masc"
célibataire,"2. unmarried woman, spinster",selibatɛʀ,"n, masc"
célibataire,3. bachelor,selibatɛʀ,"n, masc"
veuve,widow,vœv,"n, fem"
Canada,Canada,kanada,n
dépêche,dispatch,depɛʃ,"n, masc"
progrès,"advance, advancement, progress",pʀogʀɛ,"n, masc"
dégoûtant,"nasty, disgusting",degutɑ̃,adj
matière,"matter, material",matjɛʀ,"n, fem"
avril,April,avʀil,"n, masc"
cercle,circle,sɛʀkl,"n, masc"
nucléaire,nuclear,nykleɛʀ,adj
échelle,1. ladder,eʃɛ,"n, fem"
échelle,2. scale,eʃɛ,"n, fem"
adorer,"1. adore, worship",adɔʀe,v
orchestre,orchestra,ɔʀkɛstʀ,"n, masc"
déposer,1. dispatch,depoze,v
déposer,2. hand in,depoze,v
déposer,3. deposit,depoze,v
emprunter,"borrow, lend, loan",ɑ̃pʀyte,v
exprimer,express,ɛkspʀime,v
caractère,"character, nature, personality",kaʀaktɛʀ,"n, masc"
vedette,"1. motor-boat, motor-launch",vədɛt,"n, fem"
vedette,"2. celebrity, star",vədɛt,"n, fem"
généreux,generous,ʒeneʀø,adj
bâton,"1. baton, cane, stick",batɔ̃,"n, masc"
bâton,"2. pole, rod",batɔ̃,"n, masc"
timide,"1. afraid, timid",timid,adj
timide,2. shy,timid,adj
immense,1. enormous,imɑ̃s,adj
immense,"2. huge, immense",imɑ̃s,adj
immense,3. colossal,imɑ̃s,adj
immense,4. absolute,imɑ̃s,adj
immense,5. abysmal,imɑ̃s,adj
serviette,1. napkin,sɛʀvjɛt,"n, fem"
serviette,2. towel,sɛʀvjɛt,"n, fem"
diriger,"1. direct, guide, manage, steer",diʀiʒe,v
diriger,"2. conduct, lead",diʀiʒe,v
passant,busy,pɑsɑ̃,adj
plaque,"plate, sheet, slab",plak,"n, fem"
espion,spy,ɛspjɔ̃,"n, masc"
cruel,cruel,kʀyɛl,adj
tension,"tension, voltage",tɑ̃sjɔ̃,"n, fem"
organiser,organize,oʀganize,v
léger,light,leʒe,adj
température,temperature,tɑ̃peʀatyʀ,"n, fem"
populaire,popular,popylɛʀ,adj
intelligence,1. intelligence,ɛ̃tɛliʒɑ̃s,"n, fem"
intelligence,2. wisdom,ɛ̃tɛliʒɑ̃s,"n, fem"
craindre,"be afraid of, fear",kʀɛ̃dʀ,v
mortel,deadly,mɔʀtɛl,adj
issue,"exit, way out",isy,"n, fem"
demeure,"abode, accommodation, dwelling, residence",dəmœʀ,"n, fem"
mouche,"fly, housefly",muʃ,"n, fem"
octobre,October,ɔktɔbʀ,"n, fem"
passeport,passport,pasəpɔʀ,"n, masc"
accusation,"accusal, accusation, charge, complaint, indictment",akyzasjɔ̃,"n, fem"
objection,objection,ɔbʒɛksjɔ̃,"n, fem"
manuel,manual,manyɛl,adj
crainte,fear,kʀɛ̃t,"n, fem"
asile,asylum,azil,"n, masc"
branche,"1. bough, branch",bʀɑ̃ʃ,"n, fem"
branche,2. section,bʀɑ̃ʃ,"n, fem"
hop,gee-up,ɔp,int
tradition,tradition,tʀadisjɔ̃,"n, fem"
sel,salt,sɛl,"n, masc"
centrale,"exchange, power station",sɑ̃tʀal,
déçu,"cheated, deceived",desy,adj
plaindre,"have compassion on, pity",plɛ̃dʀ,v
employé,employee,ɑ̃plwaje,"n, masc"
influence,"action, influence",ɛ̃flyɑ̃s,"n, fem"
forcer,soften up,fɔʀse,v
coucou,cuckoo,kuku,"n, masc"
audience,1. audience,odjɑ̃s,"n, fem"
